Name,Type,Address,City,Region
Govt. Industrial Training Institute,ITI,"Vidyanagar, Hubli",Hubli,Hubli/Dharwad
Dr. Ambedkar Shikshan Sam ITI,ITI,"Nekar Nagar, Hubli",Hubli,Hubli/Dharwad
Mahila Vidyapeeta ITI,ITI,"Vidyanagar, Hubli",Hubli,Hubli/Dharwad
Shri Guru Gorakshanath ITI,ITI,"Tarihal Road, Hubli",Hubli,Hubli/Dharwad
Smt. Kamalamma Lahoti ITI,ITI,"Station Road, Hubli",Hubli,Hubli/Dharwad
Sri Siddeshwar ITI,ITI,"Hosur Road, Hubli",Hubli,Hubli/Dharwad
Govt. ITI for Women,ITI,"Gokul Road, Hubli",Hubli,Hubli/Dharwad
Basaveshwar ITI,ITI,"Industrial Area, Dharwad",Hubli,Hubli/Dharwad
Karnataka Lingayat Education Society ITI,ITI,"Vidyanagar, Hubli",Hubli,Hubli/Dharwad
Gurumallappa Chabbi Rural ITI,ITI,"Hosa Yellapur, Dharwad",Hubli,Hubli/Dharwad
MSME Development Institute (Hubli),MSME,"Industrial Estate, Gokul Road, Hubli",Hubli,Hubli/Dharwad
Hubli Engineering Cluster,MSME,"Tarihal Industrial Area, Gokul Road, Hubli",Hubli,Hubli/Dharwad
Auto Cluster,MSME,"Gokul Road, Hubli",Hubli,Hubli/Dharwad
Readymade Garment Cluster,MSME,"Gokul Road, Hubli",Hubli,Hubli/Dharwad
Belur Industrial Estate,MSME,"Belur, Dharwad",Hubli,Hubli/Dharwad
Mummigatti Industrial Estate,MSME,"Mummigatti, Dharwad",Hubli,Hubli/Dharwad
Kotur Industrial Estate,MSME,"Kotur, Dharwad",Hubli,Hubli/Dharwad
Tungabhadra Industrial Estate,MSME,"Navanagar, Hubli",Hubli,Hubli/Dharwad
Gandhi Nagar Industrial Area,MSME,"Gandhi Nagar, Hubli",Hubli,Hubli/Dharwad
Garment Manufacturing Cluster,MSME,"Gokul Road, Hubli",Hubli,Hubli/Dharwad
